key,text,tag,file,type,protected_text,translated
VBE_MakeCocktailGourmet.label,make gourmet cocktail,label,RecipeDef/RecipeDef.xml,def,make gourmet cocktail,制作美食鸡尾酒
VBE_MakeCocktailGourmet.description,"Make a gourmet cocktail, where every factor from temperature of glass, choice of stirring instrument and type of garnish has been precisely calculated for the maximum flavor and body possible.",description,RecipeDef/RecipeDef.xml,def,"Make a gourmet cocktail, where every factor from temperature of glass, choice of stirring instrument and type of garnish has been precisely calculated for the maximum flavor and body possible.",制作美味的鸡尾酒，其中从玻璃杯的温度、搅拌工具的选择和装饰类型的每个因素都经过精确计算，以尽可能获得最大的风味和口感。
VBE_MakeCocktailGourmet.jobString,Making gourmet cocktail.,jobString,RecipeDef/RecipeDef.xml,def,Making gourmet cocktail.,制作美食鸡尾酒。
VBE_MakeCocktailGourmet.ingredients.0.filter.customSummary,simple spirits,customSummary,RecipeDef/RecipeDef.xml,def,simple spirits,简单的精神
VBE_MakeCocktailGourmet.ingredients.1.filter.customSummary,luxury spirits,customSummary,RecipeDef/RecipeDef.xml,def,luxury spirits,奢侈烈酒
VBE_MakeCocktailGourmet.ingredients.2.filter.customSummary,non-alcoholic drinks,customSummary,RecipeDef/RecipeDef.xml,def,non-alcoholic drinks,非酒精饮料
VBE_MakeCocktailGourmet.ingredients.3.filter.customSummary,condiments,customSummary,RecipeDef/RecipeDef.xml,def,condiments,调味品
VBE_MakeLuciferiumPowder.label,make luciferium powder,label,RecipeDef/RecipeDef.xml,def,make luciferium powder,制作荧光粉
VBE_MakeLuciferiumPowder.description,Make a very finely blended powder made from luciferium. Usually put around rims of alcoholic drinks in bars frequented by the wealthy and powerful.,description,RecipeDef/RecipeDef.xml,def,Make a very finely blended powder made from luciferium. Usually put around rims of alcoholic drinks in bars frequented by the wealthy and powerful.,制作由荧光素制成的非常精细的混合粉末。通常在富人和权贵经常光顾的酒吧里放置在酒精饮料的边缘。
VBE_MakeLuciferiumPowder.jobString,Making luciferium powder.,jobString,RecipeDef/RecipeDef.xml,def,Making luciferium powder.,制作荧光粉。
