key,text,tag,file,type,protected_text,translated
RB_Quill.label,ranged quill,label,AbilityDef/AbilityDef.xml,def,ranged quill,远程羽毛笔
RB_Quill.description,"Fire a shower of small but deadly venomous barbs that pierce skin and deliver a potent toxin, weakening targets over time.",description,AbilityDef/AbilityDef.xml,def,"Fire a shower of small but deadly venomous barbs that pierce skin and deliver a potent toxin, weakening targets over time.",发射一阵小而致命的有毒倒刺，刺穿皮肤并释放强效毒素，随着时间的推移削弱目标。
RB_BeeBody.label,bee body,label,BodyDef/BodyDef.xml,def,bee body,蜜蜂身体
RB_BeeBody.corePart.parts.3.parts.0.parts.1.customLabel,left first eye,customLabel,BodyDef/BodyDef.xml,def,left first eye,左第一眼
RB_BeeBody.corePart.parts.3.parts.0.parts.2.customLabel,left second eye,customLabel,BodyDef/BodyDef.xml,def,left second eye,左第二眼
RB_BeeBody.corePart.parts.5.customLabel,left first leg,customLabel,BodyDef/BodyDef.xml,def,left first leg,左第一腿
RB_BeeBody.corePart.parts.6.customLabel,right first leg,customLabel,BodyDef/BodyDef.xml,def,right first leg,右第一腿
RB_BeeBody.corePart.parts.7.customLabel,left second leg,customLabel,BodyDef/BodyDef.xml,def,left second leg,左第二条腿
RB_BeeBody.corePart.parts.8.customLabel,right second leg,customLabel,BodyDef/BodyDef.xml,def,right second leg,右第二条腿
RB_BeeBody.corePart.parts.9.customLabel,left third leg,customLabel,BodyDef/BodyDef.xml,def,left third leg,左第三条腿
RB_BeeBody.corePart.parts.10.customLabel,right third leg,customLabel,BodyDef/BodyDef.xml,def,right third leg,右第三条腿
RB_BeeBody.corePart.parts.11.customLabel,right first wing,customLabel,BodyDef/BodyDef.xml,def,right first wing,右第一翼
RB_BeeBody.corePart.parts.12.customLabel,right second wing,customLabel,BodyDef/BodyDef.xml,def,right second wing,右第二翼
RB_BeeBody.corePart.parts.13.customLabel,left first wing,customLabel,BodyDef/BodyDef.xml,def,left first wing,左第一翼
RB_BeeBody.corePart.parts.14.customLabel,left second wing,customLabel,BodyDef/BodyDef.xml,def,left second wing,左第二翼
RB_HornedBeeBody.label,horned bee body,label,BodyDef/BodyDef.xml,def,horned bee body,角蜂的身体
RB_HornedBeeBody.corePart.parts.3.parts.0.parts.1.customLabel,left first eye,customLabel,BodyDef/BodyDef.xml,def,left first eye,左第一眼
RB_HornedBeeBody.corePart.parts.3.parts.0.parts.2.customLabel,left second eye,customLabel,BodyDef/BodyDef.xml,def,left second eye,左第二眼
RB_HornedBeeBody.corePart.parts.5.customLabel,left first leg,customLabel,BodyDef/BodyDef.xml,def,left first leg,左第一腿
RB_HornedBeeBody.corePart.parts.6.customLabel,right first leg,customLabel,BodyDef/BodyDef.xml,def,right first leg,右第一腿
RB_HornedBeeBody.corePart.parts.7.customLabel,left second leg,customLabel,BodyDef/BodyDef.xml,def,left second leg,左第二条腿
RB_HornedBeeBody.corePart.parts.8.customLabel,right second leg,customLabel,BodyDef/BodyDef.xml,def,right second leg,右第二条腿
RB_HornedBeeBody.corePart.parts.9.customLabel,left third leg,customLabel,BodyDef/BodyDef.xml,def,left third leg,左第三条腿
RB_HornedBeeBody.corePart.parts.10.customLabel,right third leg,customLabel,BodyDef/BodyDef.xml,def,right third leg,右第三条腿
RB_HornedBeeBody.corePart.parts.11.customLabel,right first wing,customLabel,BodyDef/BodyDef.xml,def,right first wing,右第一翼
RB_HornedBeeBody.corePart.parts.12.customLabel,right second wing,customLabel,BodyDef/BodyDef.xml,def,right second wing,右第二翼
RB_HornedBeeBody.corePart.parts.13.customLabel,left first wing,customLabel,BodyDef/BodyDef.xml,def,left first wing,左第一翼
RB_HornedBeeBody.corePart.parts.14.customLabel,left second wing,customLabel,BodyDef/BodyDef.xml,def,left second wing,左第二翼
RB_Sting.label,stinger,label,BodyPartGroupDef/BodyPartGroupDef.xml,def,stinger,刺
RB_LegAttackTool.label,leg,label,BodyPartGroupDef/BodyPartGroupDef.xml,def,leg,腿
RB_Thorax.label,thorax,label,BodyPartDef/BodyPartDef.xml,def,thorax,胸部
RB_InsectMouth.label,mouth,label,BodyPartDef/BodyPartDef.xml,def,mouth,嘴
RB_Abdomen.label,abdomen,label,BodyPartDef/BodyPartDef.xml,def,abdomen,腹部
RB_InsectWing.label,wing,label,BodyPartDef/BodyPartDef.xml,def,wing,翼
RB_SmallInsectLeg.label,small leg,label,BodyPartDef/BodyPartDef.xml,def,small leg,小腿
RB_InsectSting.label,stinger,label,BodyPartDef/BodyPartDef.xml,def,stinger,刺
RB_ToxicSting.label,toxic sting,label,DamageDef/DamageDef.xml,def,toxic sting,毒刺
RB_ToxicSting.deathMessage,{0} has been stung to death.,deathMessage,DamageDef/DamageDef.xml,def,(PH_1) has been stung to death.,{0} 已被蜇死。
RB_VeryToxicSting.label,very toxic sting,label,DamageDef/DamageDef.xml,def,very toxic sting,剧毒的蜇伤
RB_VeryToxicSting.deathMessage,{0} has been stung to death.,deathMessage,DamageDef/DamageDef.xml,def,(PH_1) has been stung to death.,{0} 已被蜇死。
RB_ChemfuelSting.label,chemfuel sting,label,DamageDef/DamageDef.xml,def,chemfuel sting,化学燃料刺痛
RB_ChemfuelSting.deathMessage,{0} has been stung to death.,deathMessage,DamageDef/DamageDef.xml,def,(PH_1) has been stung to death.,{0} 已被蜇死。
RB_BlindingSting.label,blinding sting,label,DamageDef/DamageDef.xml,def,blinding sting,致盲刺痛
RB_BlindingSting.deathMessage,{0} has been stung to death.,deathMessage,DamageDef/DamageDef.xml,def,(PH_1) has been stung to death.,{0} 已被蜇死。
RB_ParalyzingSting.label,paralyzing sting,label,DamageDef/DamageDef.xml,def,paralyzing sting,麻痹蜇伤
